bins,PDF
-1.0,0.0
-0.975,0.0
-0.95,0.0
-0.925,0.0
-0.9,0.0
-0.875,0.0
-0.85,0.0
-0.825,0.0
-0.8,0.0
-0.775,0.0
-0.75,0.0
-0.725,0.0
-0.7,0.0
-0.675,0.0
-0.65,0.0
-0.625,0.0
-0.6,0.0
-0.575,0.0
-0.55,0.0
-0.525,0.0
-0.5,0.0
-0.475,0.0
-0.45,0.0
-0.425,0.0
-0.4,0.0
-0.375,2.0
-0.35,0.0
-0.325,2.0
-0.3,0.0
-0.275,0.0
-0.25,6.0
-0.225,6.0
-0.2,8.0
-0.175,8.0
-0.15,10.0
-0.125,32.0
-0.1,24.0
-0.075,26.0
-0.05,30.0
-0.025,44.0
0.0,68.0
0.025,62.0
0.05,52.0
0.075,66.0
0.1,84.0
0.125,110.0
0.15,66.0
0.175,98.0
0.2,96.0
0.225,102.0
0.25,82.0
0.275,60.0
0.3,72.0
0.325,64.0
0.35,48.0
0.375,30.0
0.4,46.0
0.425,52.0
0.45,22.0
0.475,18.0
0.5,8.0
0.525,22.0
0.55,10.0
0.575,8.0
0.6,2.0
0.625,2.0
0.65,4.0
0.675,0.0
0.7,2.0
0.725,0.0
0.75,0.0
0.775,2.0
0.8,0.0
0.825,2.0
0.85,2.0
0.875,0.0
0.9,0.0
0.925,0.0
0.95,0.0
0.975,
