,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,2.0
26,0.0
27,2.0
28,0.0
29,0.0
30,6.0
31,6.0
32,8.0
33,8.0
34,10.0
35,32.0
36,24.0
37,26.0
38,30.0
39,44.0
40,68.0
41,62.0
42,52.0
43,66.0
44,84.0
45,110.0
46,66.0
47,98.0
48,96.0
49,102.0
50,82.0
51,60.0
52,72.0
53,64.0
54,48.0
55,30.0
56,46.0
57,52.0
58,22.0
59,18.0
60,8.0
61,22.0
62,10.0
63,8.0
64,2.0
65,2.0
66,4.0
67,0.0
68,2.0
69,0.0
70,0.0
71,2.0
72,0.0
73,2.0
74,2.0
75,0.0
76,0.0
77,0.0
78,0.0
