,0
0,-1.0
1,-0.975
2,-0.95
3,-0.925
4,-0.9
5,-0.875
6,-0.85
7,-0.825
8,-0.8
9,-0.775
10,-0.75
11,-0.725
12,-0.7
13,-0.675
14,-0.65
15,-0.625
16,-0.6
17,-0.575
18,-0.55
19,-0.525
20,-0.5
21,-0.475
22,-0.45
23,-0.425
24,-0.4
25,-0.375
26,-0.35
27,-0.325
28,-0.3
29,-0.275
30,-0.25
31,-0.225
32,-0.2
33,-0.175
34,-0.15
35,-0.125
36,-0.1
37,-0.075
38,-0.05
39,-0.025
40,0.0
41,0.025
42,0.05
43,0.075
44,0.1
45,0.125
46,0.15
47,0.175
48,0.2
49,0.225
50,0.25
51,0.275
52,0.3
53,0.325
54,0.35
55,0.375
56,0.4
57,0.425
58,0.45
59,0.475
60,0.5
61,0.525
62,0.55
63,0.575
64,0.6
65,0.625
66,0.65
67,0.675
68,0.7
69,0.725
70,0.75
71,0.775
72,0.8
73,0.825
74,0.85
75,0.875
76,0.9
77,0.925
78,0.95
79,0.975
