temperture,Covid-19 recession,great recession,off crisis 2005,off crisis 2019
0.01,-0.9934283440133175,-0.9931595016290768,-0.9817980192733632,-0.9966033773108336
0.012,-0.9983064650038691,-0.9923872797431191,-0.9910648370603627,-0.987179822439607
0.014,-0.9956490866571269,-0.9943822561667911,-0.9913458600345696,-0.9953020581044392
0.016,-0.9978681948320265,-0.9959053757815199,-0.9878767970676126,-1.0002097143373008
0.018,-0.9965244273481517,-0.9929621371127744,-0.9895793813173328,-0.9963476270731554
0.02,-0.9956686036914494,-0.9955962900307985,-0.9853384572883093,-0.9973001414560898
0.04,-0.999075221495946,-0.9965022351059319,-0.9850427618353095,-0.988957309211293
0.06,-0.9973758606758651,-0.9964916705233562,-0.9696992721328255,-0.9749337567558615
0.08,-0.997723558463614,-0.9963842775148453,-0.9516024011682312,-0.9565131815641027
0.1,-0.99826708507256,-0.9930983589392914,-0.9333644150493252,-0.9269596789196198
0.3,-0.9916475236698754,-1.0015314386360772,-0.47790680856284184,-0.7188756031115444
0.5,-0.9999049667217353,-1.0001822573170582,-0.18314320949861146,-0.5166091353188506
0.7,-0.9981067053130708,-1.0001317325299277,-0.10605282923652351,-0.2533958575835204
0.9,-0.9970380882771224,-1.0009196135087859,-0.07341631661937749,-0.09663356762294778
1.2,-0.9982206378772454,-1.0024771028385213,-0.05140540226393867,-0.059182643409513555
1.5,-1.000511542092028,-1.0009056936163758,-0.041592820318434885,-0.04529057526897756
1.8,-0.9961791405047401,-1.000420355825646,-0.031880904042273686,-0.036564533653670045
2.1,-0.9930787273615581,-1.000791914268364,-0.02517555820411803,-0.029473739563603885
2.4,-0.990559401216528,-0.9976091573318333,-0.022773857937292967,-0.029997025171357623
2.8,-0.9890746929838496,-0.9958322451866236,-0.023361678425088135,-0.022148598462382787
3.1,-0.98390496155169,-0.9929528185110222,-0.015015664333740845,-0.022272388353269848
3.3,-0.9823995340864178,-0.9866888504072747,-0.009705297518703708,-0.01833042918840868
3.5,-0.9801162920546355,-0.9856826390580736,-0.015549255298065752,-0.01629823685546026
3.7,-0.9749191272482036,-0.9800899201389959,-0.020844658977944387,-0.014099091495316823
3.9,-0.9719190193404451,-0.97769930089225,-0.010575000839991808,-0.014498126674469017
4.1,-0.9673000780407925,-0.9701646054443736,-0.012939226663810352,-0.016936948477612596
4.3,-0.965347372455244,-0.9634938127226278,-0.011950266092199669,-0.01477862462252485
4.5,-0.9608107429907096,-0.9549242725985231,-0.01187597570769253,-0.01578812224490556
4.7,-0.9531506327464504,-0.9425912444934086,-0.00848083386813292,-0.006699995227351624
4.9,-0.945566683099711,-0.9312148242956215,-0.009874816530865844,-0.010869100673703051
5.0,-0.944937432281116,-0.923486313816971,-0.014883259868394186,-0.013307112041259714
5.1,-0.938647587416904,-0.9159970574844167,-0.012267181722181015,-0.010177034673040045
5.3,-0.9291608463306793,-0.881094509536661,-0.01198024166187116,-0.01641151604937724
5.4,-0.924119508025331,-0.8570559194765975,-0.016886886171517793,-0.01466535602034716
5.5,-0.9169432811115956,-0.8295297279790881,-0.017050923238895087,-0.012768615678319146
5.6,-0.9110586026095066,-0.69611515078926,-0.011798329231502749,-0.01236587896309418
5.7,-0.9051282170220873,-0.6393952853658046,-0.010147190271837839,-0.01078585460434589
5.8,-0.890868328338371,-0.5269181719808268,-0.009968468405272003,-0.0033538031967821048
5.9,-0.8769349417665355,-0.4133419607839262,-0.004681677956502137,-0.008729012218802724
6.0,-0.8314710633973769,-0.2917083602006224,-0.012215841136250549,-0.0074918123605194845
6.1,-0.7690076550672968,-0.19769266134874633,-0.007399978593697087,-0.0104911614544014
6.2,-0.667564903539116,-0.15159000380767915,-0.0076907780823821225,-0.006985779125509567
6.3,-0.5873416170746204,-0.13187607596556475,-0.00911783216259997,-0.01113416460825382
6.4,-0.5166656606629348,-0.09924459343154785,-0.011204722002885139,-0.009991401462312637
6.5,-0.35696948938140427,-0.0747949437120631,-0.01139357472769529,-0.011690502984588706
6.7,-0.18830091057870485,-0.06746644975283622,-0.008663818272328485,-0.010095325225089448
6.9,-0.11805281731089294,-0.06093311847469698,-0.006795182004403995,-0.004569536788251931
7.1,-0.07358236429535085,-0.06256328635420781,-0.004835945895326985,-0.008999009417095381
7.2,-0.07333904589320286,-0.06027380570486169,-0.00492795940432861,-0.017436497513328278
7.3,-0.06982518782524223,-0.058661278509805306,-0.006588406357503483,-0.010824071458646766
7.5,-0.06579903476370938,-0.0554697891203053,-0.00568686941600156,-0.010997006848070385
7.7,-0.06344528801963564,-0.05452615182345785,-0.01324297889711447,-0.015910910629591556
7.9,-0.059340318338145404,-0.052112731315618506,-0.005407414920016307,-0.008381734932397179
8.1,-0.056877732501964026,-0.05089874213469079,-0.007025978854188424,-0.014760504059278892
8.3,-0.055267489710851304,-0.04731186949968541,-0.006404614255312616,-0.00846984881354437
8.5,-0.05333929551263214,-0.04754059313102508,-0.008031649531726899,-0.010036433876406688
8.8,-0.05185572591119109,-0.04511316455169956,-0.005651549608791859,-0.008342258519369669
9.0,-0.0502479020719297,-0.043367638100283275,-0.00910503171493049,-0.008992118066244451
9.2,-0.052244658863182115,-0.04407599793812209,-0.006377560886559717,-0.0010298018121110172
9.4,-0.048015302459161864,-0.044512665674283435,-0.006252918540166454,-0.00489163910396825
9.6,-0.04704968655687086,-0.03966463758818862,-0.008791628801888406,-0.00942406493437719
9.8,-0.044964465515747336,-0.040609282397922816,-0.008867250603746839,-0.003401025289544206
10.0,-0.042608864248486034,-0.03805841210220775,-0.00045176949940796114,-0.012076835670977996
