,0
0,-0.9931595016290768
1,-0.9923872797431191
2,-0.9943822561667911
3,-0.9959053757815199
4,-0.9929621371127744
5,-0.9955962900307985
6,-0.9965022351059319
7,-0.9964916705233562
8,-0.9963842775148453
9,-0.9930983589392914
10,-1.0015314386360772
11,-1.0001822573170582
12,-1.0001317325299277
13,-1.0009196135087859
14,-1.0024771028385213
15,-1.0009056936163758
16,-1.000420355825646
17,-1.000791914268364
18,-0.9976091573318333
19,-0.9958322451866236
20,-0.9929528185110222
21,-0.9866888504072747
22,-0.9856826390580736
23,-0.9800899201389959
24,-0.97769930089225
25,-0.9701646054443736
26,-0.9634938127226278
27,-0.9549242725985231
28,-0.9425912444934086
29,-0.9312148242956215
30,-0.923486313816971
31,-0.9159970574844167
32,-0.881094509536661
33,-0.8570559194765975
34,-0.8295297279790881
35,-0.69611515078926
36,-0.6393952853658046
37,-0.5269181719808268
38,-0.4133419607839262
39,-0.2917083602006224
40,-0.19769266134874633
41,-0.15159000380767915
42,-0.13187607596556475
43,-0.09924459343154785
44,-0.0747949437120631
45,-0.06746644975283622
46,-0.06093311847469698
47,-0.06256328635420781
48,-0.06027380570486169
49,-0.058661278509805306
50,-0.0554697891203053
51,-0.05452615182345785
52,-0.052112731315618506
53,-0.05089874213469079
54,-0.04731186949968541
55,-0.04754059313102508
56,-0.04511316455169956
57,-0.043367638100283275
58,-0.04407599793812209
59,-0.044512665674283435
60,-0.03966463758818862
61,-0.040609282397922816
62,-0.03805841210220775
