,0
0,-0.9817980192733632
1,-0.9910648370603627
2,-0.9913458600345696
3,-0.9878767970676126
4,-0.9895793813173328
5,-0.9853384572883093
6,-0.9850427618353095
7,-0.9696992721328255
8,-0.9516024011682312
9,-0.9333644150493252
10,-0.47790680856284184
11,-0.18314320949861146
12,-0.10605282923652351
13,-0.07341631661937749
14,-0.05140540226393867
15,-0.041592820318434885
16,-0.031880904042273686
17,-0.02517555820411803
18,-0.022773857937292967
19,-0.023361678425088135
20,-0.015015664333740845
21,-0.009705297518703708
22,-0.015549255298065752
23,-0.020844658977944387
24,-0.010575000839991808
25,-0.012939226663810352
26,-0.011950266092199669
27,-0.01187597570769253
28,-0.00848083386813292
29,-0.009874816530865844
30,-0.014883259868394186
31,-0.012267181722181015
32,-0.01198024166187116
33,-0.016886886171517793
34,-0.017050923238895087
35,-0.011798329231502749
36,-0.010147190271837839
37,-0.009968468405272003
38,-0.004681677956502137
39,-0.012215841136250549
40,-0.007399978593697087
41,-0.0076907780823821225
42,-0.00911783216259997
43,-0.011204722002885139
44,-0.01139357472769529
45,-0.008663818272328485
46,-0.006795182004403995
47,-0.004835945895326985
48,-0.00492795940432861
49,-0.006588406357503483
50,-0.00568686941600156
51,-0.01324297889711447
52,-0.005407414920016307
53,-0.007025978854188424
54,-0.006404614255312616
55,-0.008031649531726899
56,-0.005651549608791859
57,-0.00910503171493049
58,-0.006377560886559717
59,-0.006252918540166454
60,-0.008791628801888406
61,-0.008867250603746839
62,-0.00045176949940796114
