,0
2005-03-7,0.5
2005-05-17,0.019
2005-07-28,0.1
2005-10-7,0.08
2005-12-19,0.1
2006-03-3,0.1
2006-05-15,1.4
2006-07-26,0.08
2006-10-5,0.01
2006-12-15,0.6
2007-03-2,1.0
2007-05-14,1.2
2007-07-28,2.6
2007-10-4,1.2
2007-12-14,1.0
2008-02-28,2.2
2008-05-9,1.0
2008-07-22,4.2
2008-10-01,7.4
2008-12-11,2.6
2009-02-25,3.4
2009-05-07,2.4
2009-07-20,0.6
2009-09-29,1.8
2009-12-09,2.0
2010-02-23,1.2
2010-05-05,5.5
2010-07-16,2.4
2010-09-27,1.2
2010-12-07,0.05
2011-02-17,1.6
2011-05-02,1.8
2011-07-13,6.1
2011-09-22,5.0
2011-12-02,1.6
2012-02-15,1.4
2012-04-27,2.8
2012-07-10,1.2
2012-09-19,0.6
2012-12-03,1.0
2013-02-14,1.4
2013-04-29,1.8
2013-07-10,0.6
2013-09-19,0.8
2013-11-29,1.6
2014-02-12,0.6
2014-04-25,0.01
2014-07-08,0.6
2014-09-17,1.6
2014-11-26,1.6
2015-02-10,1.2
2015-04-23,1.4
2015-07-06,4.6
2015-09-15,1.2
2015-11-24,3.2
2016-02-08,0.6
2016-04-20,2.2
2016-06-30,0.6
2016-09-12,0.1
2016-11-21,0.1
2017-02-03,0.1
2017-04-18,0.1
2017-06-28,0.08
2017-09-08,0.01
2017-11-17,4.0
2018-02-01,0.3
2018-04-16,0.01
2018-06-26,0.1
2018-09-06,1.8
2018-11-15,3.6
2019-01-31,0.1
2019-04-12,0.6
2019-06-25,2.4
2019-09-05,0.3
2019-11-14,0.1
2020-01-29,8.6
2020-04-09,2.8
